RangeStart,RangeEnd,Original
0x718f,0x71a6,0x135c
0x719a,0x71b6,0x1a98
0x71a9,0x71c5,0x1aa7
0x71b0,0x71cc,0x1c3e
0x71b6,0x71d5,0x162f
0x71bc,0x71db,0x162f
0x71ce,0x71ed,0x162f
0x725d,0x7281,0x1633
0x7262,0x7286,0x1633
0x727b,0x729f,0x1633
0x7281,0x72a6,0x1810
0x7296,0x72bb,0x1825
0x729d,0x72c2,0x194f
0x72a6,0x72cc,0x15e2
0x72ae,0x72d4,0x15e2
0x72c3,0x72e9,0x15e2
0x72cc,0x72f3,0x1628
0x72d5,0x72fc,0x1628
0x72e9,0x7310,0x1628
0x742c,0x746f,0x10c0
0x7431,0x7474,0x10c6
0x7438,0x747b,0x10f8
0x743f,0x7482,0x1119
0x7446,0x7489,0x1127
0x744b,0x748e,0x1133
0x7452,0x7495,0x1152
0x7457,0x749a,0x1157
0x745e,0x74a1,0x1165
0x7464,0x74a7,0x116b
0x754d,0x7599,0x1639
0x7558,0x75a4,0x1639
0x758d,0x75d9,0x1639
0x772e,0x7785,0x12eb
0x7737,0x778e,0x12eb
0x773c,0x7793,0x12eb
0x777b,0x77d2,0x12eb
0x7896,0x790b,0x11b3
0x78a3,0x7918,0x11b3
0x78fd,0x7972,0x11b3
0x790b,0x79b5,0x127a
0x791a,0x79c4,0x127a
0x7922,0x79cc,0x127a
0x79a5,0x7a4f,0x127a
0x79b5,0x7a60,0x17c8
0x79c2,0x7a6d,0x17c8
0x7a60,0x7b15,0x126c
0x7a70,0x7b25,0x126c
0x7a78,0x7b2d,0x126c
0x7b01,0x7bb6,0x126c
0x7b15,0x7bd2,0x1324
0x7b26,0x7be3,0x1324
0x7b33,0x7bf0,0x1324
0x7bd2,0x7c90,0x16dc
0x7be1,0x7c9f,0x16dc
0x7c90,0x7d5c,0x11a4
0x7c9f,0x7d6b,0x11b3
0x7caa,0x7d76,0x11c5
0x7cb0,0x7d7c,0x11cd
0x7cbb,0x7d87,0x11e3
0x7cc2,0x7d8e,0x11e7
0x7cc9,0x7d95,0x1208
0x7cd3,0x7d9f,0x1212
0x7cda,0x7da6,0x1231
0x7cdf,0x7dab,0x1239
0x7ce6,0x7db2,0x124e
0x7ced,0x7db9,0x125a
0x7cf2,0x7dbe,0x126c
0x7cf9,0x7dc5,0x127a
0x7d00,0x7dcc,0x1286
0x7d05,0x7dd1,0x128e
0x7d0c,0x7dd8,0x12bb
0x7d13,0x7ddf,0x12c0
0x7d18,0x7de4,0x12c5
0x7d1f,0x7deb,0x12d2
0x7d26,0x7df2,0x12dd
0x7d2d,0x7df9,0x12e4
0x7d32,0x7dfe,0x12e9
0x7d37,0x7e03,0x12eb
0x7d3c,0x7e08,0x12f5
0x7d42,0x7e0e,0x12fb
0x7d49,0x7e15,0x1306
0x7d4e,0x7e1a,0x1310
0x7d55,0x7e21,0x1318
0x7d5c,0x7e43,0x153e
0x7d6d,0x7e54,0x153e
0x7d75,0x7e5c,0x153e
0x7e31,0x7f18,0x153e
0x7e43,0x7f2e,0x124e
0x7e54,0x7f3f,0x124e
0x7e5c,0x7f47,0x124e
0x7f1c,0x8007,0x124e
0x7f2e,0x804d,0x1000
0x7f45,0x8064,0x1000
0x7f4a,0x8069,0x1000
0x804d,0x8171,0x15b8
0x805d,0x8181,0x15b8
0x8062,0x8186,0x15b8
0x815d,0x8281,0x15b8
0x8171,0x82a5,0x14b4
0x8182,0x82b6,0x14b4
0x8188,0x82bc,0x14b4
0x820f,0x8343,0x14bd
0x822e,0x8362,0x14d1
0x8250,0x8384,0x14d1
0x825c,0x8390,0x14d1
0x825e,0x8392,0x14de
0x8261,0x8395,0x14de
0x828e,0x83c2,0x14de
0x8293,0x83c7,0x14cc
0x8298,0x83cc,0x14d1
0x829d,0x83d1,0x14e5
0x82a5,0x83df,0x1239
0x82b5,0x83ef,0x1239
0x82d3,0x840d,0x1239
0x83cb,0x8505,0x1239
0x83df,0x8525,0x152e
0x83f2,0x8538,0x152e
0x83f7,0x853d,0x152e
0x8511,0x8657,0x152e
0x8525,0x8676,0x1808
0x8539,0x868a,0x1808
0x8676,0x87f9,0x11cd
0x8686,0x8809,0x11cd
0x8693,0x8816,0x11cd
0x87e8,0x896b,0x11cd
0x87f9,0x8985,0x15ed
0x8809,0x8995,0x15ed
0x8974,0x8b00,0x15ed
0x8985,0x8b15,0x15c9
0x8998,0x8b28,0x15c9
0x899d,0x8b2d,0x15c9
0x8b01,0x8c91,0x15c9
0x8b15,0x8cc8,0x1c44
0x8b2c,0x8cdf,0x1c44
0x8b34,0x8ce7,0x1c44
0x8cc8,0x8e98,0x118c
0x8cd9,0x8ea9,0x118c
0x8ceb,0x8ebb,0x118c
